Data;Descrição;Tipo;Valor;;;;;Data;Descrição;Fornecedor;Valor
30/12/2020;Boleto Tribunal Justiça PE - Certidão Terreno das ;TERRENO;47,83;;Tipos de Despesas;Total Despesas;;30/09/2022;Pedido Nº 0908 Gerdau 08/2022 - Compra Material P/IASD Graças;GERDAU; R$ 128.569,48 
30/12/2020;Pago Fatura Celpe 09/2018 - Terreno das Graças;NEOENERGIA;103,18;;COMBUSTIVEL; R$ 200,00 ;;30/09/2022;Compras de material P/ IASD Graças - Supermix Concreto ;SUPERMIX CONCRETO; R$ 70.961,00 
30/12/2020;Pago Fatura Celpe 10/2018 - Terreno das Graças;NEOENERGIA;98,91;;COMPESA; R$ 3.741,13 ;;31/10/2022;4493 - Docº 296453 Armazém Tres T - Ferro Vergalhão;ARMAZÉM TRÊS T; R$ 2.112,00 
30/12/2020;Pago Fatura Celpe 11/2018 - Terreno das Graças;NEOENERGIA;97,38;;CONSTRUÇÃO MÃO DE OBRA; R$ 675.714,27 ;;31/10/2022;Adiantamento Compra Material P/Construção Segnorte;SEGNORTE; R$ 2.735,00 
30/12/2020;Pago Fatura Celpe 12/2018 - Terreno das Graças;NEOENERGIA;92,92;;CONSTRUÇÃO MATERIAL; R$ 215.288,70 ;;31/10/2022;Compra Material P/Construção IASD Graças - Armazém Tres T;ARMAZÉM TRÊS T; R$ 7.262,00 
30/12/2020;Pago Fatura Celpe 01/2019 - Terreno das Graças;NEOENERGIA;89,49;;NEOENERGIA; R$ 6.962,83 ;;14/09/2022;Adto - Madeireira Cunha LTDA - EPP-14/09/2022 - MI 86-10.1 - 09/2022;MADEIREIRA CUNHA; R$ 18.210,00 
30/12/2020;Pago Fatura Celpe 02/2019 - Terreno das Graças;NEOENERGIA;91,57;;TERRENO; R$ 124.312,36 ;;30/06/2022;Adto - Madcon Distribuidora - 30/06/2022 - MI 86-20.1 - 09/2022;MADCON DISTRIBUIDORA; R$ 3.460,00 
30/12/2020;Pago Fatura Celpe 03/2019 - Terreno das Graças;NEOENERGIA;93,32;;Total Geral; R$ 1.026.219,29 ;;30/06/2022;Adto - Madeireira Cunha LTDA - EPP - 30/06/2022 - MI 86-20.2 - 09/2022;MADEIREIRA CUNHA; R$ 11.168,40 
30/12/2020;Pago Fatura Celpe 04/2019 - Terreno das Graças;NEOENERGIA;96,06;;;;;21/09/2022;Adto - Madcon Distribuidora - 21/09/2022 - MI 86-4.1 - 09/2022;MADCON DISTRIBUIDORA; R$ 2.755,00 
30/12/2020;Pago Fatura Celpe 05/2019 - Terreno das Graças;NEOENERGIA;96,06;;;;;01/11/2022;Adto DEMAC Distribuidora - 01/11/2022 - MI 173-4.1 - 11/2022;DEMAC DISTRIBUIDORA; R$ 25.595,00 
